Para la k 5 la media cuadrada de los errores es: 0.736773
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 4 10 jaccard sm 0.44 jaccard directo 0.309339 error relativo 0.422389
 documentos 4 11 jaccard sm 0.58 jaccard directo 0.359281 error relativo 0.614332
 documentos 4 12 jaccard sm 0.54 jaccard directo 0.36701 error relativo 0.471347
 documentos 4 13 jaccard sm 0.57 jaccard directo 0.336653 error relativo 0.693134
 documentos 4 14 jaccard sm 0.51 jaccard directo 0.278557 error relativo 0.83086
 documentos 4 15 jaccard sm 0.59 jaccard directo 0.373444 error relativo 0.579887
 documentos 4 16 jaccard sm 0.59 jaccard directo 0.37251 error relativo 0.583849
 documentos 4 17 jaccard sm 0.55 jaccard directo 0.376016 error relativo 0.462701
 documentos 4 18 jaccard sm 0.57 jaccard directo 0.402464 error relativo 0.416274
 documentos 4 19 jaccard sm 0.46 jaccard directo 0.329243 error relativo 0.397142
 documentos 5 6 jaccard sm 0.5 jaccard directo 0.302326 error relativo 0.653844
 documentos 5 7 jaccard sm 0.49 jaccard directo 0.263804 error relativo 0.857439
 documentos 5 8 jaccard sm 0.54 jaccard directo 0.307229 error relativo 0.757645
 documentos 5 9 jaccard sm 0.52 jaccard directo 0.306483 error relativo 0.696664
 documentos 5 10 jaccard sm 0.47 jaccard directo 0.252354 error relativo 0.862459
 documentos 5 11 jaccard sm 0.53 jaccard directo 0.317025 error relativo 0.671788
 documentos 5 12 jaccard sm 0.56 jaccard directo 0.284314 error relativo 0.969652
 documentos 5 13 jaccard sm 0.53 jaccard directo 0.262857 error relativo 1.0163
 documentos 5 14 jaccard sm 0.44 jaccard directo 0.26 error relativo 0.692305
 documentos 5 15 jaccard sm 0.55 jaccard directo 0.340164 error relativo 0.616866
 documentos 5 16 jaccard sm 0.47 jaccard directo 0.282486 error relativo 0.663798
 documentos 5 17 jaccard sm 0.47 jaccard directo 0.271863 error relativo 0.728809
 documentos 5 18 jaccard sm 0.58 jaccard directo 0.363636 error relativo 0.594998
 documentos 5 19 jaccard sm 0.49 jaccard directo 0.281437 error relativo 0.741061
 documentos 6 7 jaccard sm 0.57 jaccard directo 0.307054 error relativo 0.856349
 documentos 6 8 jaccard sm 0.51 jaccard directo 0.292398 error relativo 0.744197
 documentos 6 9 jaccard sm 0.51 jaccard directo 0.337945 error relativo 0.509121
 documentos 6 10 jaccard sm 0.48 jaccard directo 0.314563 error relativo 0.525924
 documentos 6 11 jaccard sm 0.54 jaccard directo 0.312261 error relativo 0.729323
 documentos 6 12 jaccard sm 0.55 jaccard directo 0.328685 error relativo 0.673331
 documentos 6 13 jaccard sm 0.6 jaccard directo 0.358149 error relativo 0.675279
 documentos 6 14 jaccard sm 0.53 jaccard directo 0.241779 error relativo 1.19208
 documentos 6 15 jaccard sm 0.55 jaccard directo 0.334669 error relativo 0.643411
 documentos 6 16 jaccard sm 0.55 jaccard directo 0.353516 error relativo 0.5558
 documentos 6 17 jaccard sm 0.63 jaccard directo 0.335294 error relativo 0.878945
 documentos 6 18 jaccard sm 0.54 jaccard directo 0.339181 error relativo 0.592067
 documentos 6 19 jaccard sm 0.49 jaccard directo 0.277344 error relativo 0.766758
 documentos 7 8 jaccard sm 0.43 jaccard directo 0.266112 error relativo 0.615857
 documentos 7 9 jaccard sm 0.53 jaccard directo 0.236111 error relativo 1.2447
 documentos 7 10 jaccard sm 0.45 jaccard directo 0.207364 error relativo 1.17009
 documentos 7 11 jaccard sm 0.56 jaccard directo 0.298354 error relativo 0.876963
 documentos 7 12 jaccard sm 0.53 jaccard directo 0.301486 error relativo 0.757955
 documentos 7 13 jaccard sm 0.51 jaccard directo 0.267347 error relativo 0.90763
 documentos 7 14 jaccard sm 0.51 jaccard directo 0.237895 error relativo 1.1438
 documentos 7 15 jaccard sm 0.5 jaccard directo 0.283019 error relativo 0.766664
 documentos 7 16 jaccard sm 0.54 jaccard directo 0.260355 error relativo 1.07409
 documentos 7 17 jaccard sm 0.54 jaccard directo 0.27439 error relativo 0.967996
 documentos 7 18 jaccard sm 0.47 jaccard directo 0.273642 error relativo 0.717571
 documentos 7 19 jaccard sm 0.42 jaccard directo 0.221996 error relativo 0.891923
 documentos 8 9 jaccard sm 0.49 jaccard directo 0.325253 error relativo 0.50652
