Para la k 5 la media cuadrada de los errores es: 0.971327
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 0 1 jaccard sm 0.22 jaccard directo 0.0900901 error relativo 1.44198
 documentos 0 2 jaccard sm 0.23 jaccard directo 0.106061 error relativo 1.16856
 documentos 0 3 jaccard sm 0.22 jaccard directo 0.149847 error relativo 0.46816
 documentos 0 4 jaccard sm 0.24 jaccard directo 0.0755287 error relativo 2.17757
 documentos 0 5 jaccard sm 0.2 jaccard directo 0.115502 error relativo 0.731573
 documentos 0 6 jaccard sm 0.22 jaccard directo 0.122024 error relativo 0.80292
 documentos 0 7 jaccard sm 0.26 jaccard directo 0.155015 error relativo 0.677251
 documentos 0 8 jaccard sm 0.26 jaccard directo 0.140673 error relativo 0.848255
 documentos 0 9 jaccard sm 0.29 jaccard directo 0.139466 error relativo 1.07935
 documentos 0 10 jaccard sm 0.24 jaccard directo 0.0991254 error relativo 1.42116
 documentos 0 11 jaccard sm 0.27 jaccard directo 0.135294 error relativo 0.995645
 documentos 0 12 jaccard sm 0.29 jaccard directo 0.128743 error relativo 1.25255
 documentos 0 13 jaccard sm 0.24 jaccard directo 0.12963 error relativo 0.851422
 documentos 0 14 jaccard sm 0.25 jaccard directo 0.126543 error relativo 0.975602
 documentos 0 15 jaccard sm 0.2 jaccard directo 0.0823864 error relativo 1.42757
 documentos 0 16 jaccard sm 0.18 jaccard directo 0.124629 error relativo 0.444282
 documentos 0 17 jaccard sm 0.27 jaccard directo 0.123494 error relativo 1.18633
 documentos 0 18 jaccard sm 0.15 jaccard directo 0.0935673 error relativo 0.603119
 documentos 0 19 jaccard sm 0.27 jaccard directo 0.131098 error relativo 1.05953
 documentos 1 2 jaccard sm 0.21 jaccard directo 0.0759878 error relativo 1.76358
 documentos 1 3 jaccard sm 0.22 jaccard directo 0.119632 error relativo 0.838967
 documentos 1 4 jaccard sm 0.19 jaccard directo 0.0648148 error relativo 1.9314
 documentos 1 5 jaccard sm 0.23 jaccard directo 0.119497 error relativo 0.924729
 documentos 1 6 jaccard sm 0.19 jaccard directo 0.0892857 error relativo 1.12799
 documentos 1 7 jaccard sm 0.22 jaccard directo 0.114804 error relativo 0.916308
 documentos 1 8 jaccard sm 0.21 jaccard directo 0.0870871 error relativo 1.41136
 documentos 1 9 jaccard sm 0.2 jaccard directo 0.130303 error relativo 0.53488
 documentos 1 10 jaccard sm 0.18 jaccard directo 0.10574 error relativo 0.702279
 documentos 1 11 jaccard sm 0.22 jaccard directo 0.0775862 error relativo 1.83553
 documentos 1 12 jaccard sm 0.25 jaccard directo 0.10241 error relativo 1.44116
 documentos 1 13 jaccard sm 0.21 jaccard directo 0.105919 error relativo 0.982638
 documentos 1 14 jaccard sm 0.24 jaccard directo 0.0792683 error relativo 2.02767
 documentos 1 15 jaccard sm 0.17 jaccard directo 0.0979228 error relativo 0.736053
 documentos 1 16 jaccard sm 0.22 jaccard directo 0.135802 error relativo 0.619995
 documentos 1 17 jaccard sm 0.21 jaccard directo 0.077381 error relativo 1.71382
 documentos 1 18 jaccard sm 0.17 jaccard directo 0.0835821 error relativo 1.03392
 documentos 1 19 jaccard sm 0.24 jaccard directo 0.0746269 error relativo 2.21597
 documentos 2 3 jaccard sm 0.18 jaccard directo 0.118902 error relativo 0.513842
 documentos 2 4 jaccard sm 0.2 jaccard directo 0.0776398 error relativo 1.57598
 documentos 2 5 jaccard sm 0.22 jaccard directo 0.151125 error relativo 0.455742
 documentos 2 6 jaccard sm 0.22 jaccard directo 0.0952381 error relativo 1.30999
 documentos 2 7 jaccard sm 0.2 jaccard directo 0.107463 error relativo 0.861103
 documentos 2 8 jaccard sm 0.24 jaccard directo 0.1375 error relativo 0.745449
 documentos 2 9 jaccard sm 0.16 jaccard directo 0.0997067 error relativo 0.6047
