Para la k 5 la media cuadrada de los errores es: 0.599616
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 4 9 jaccard sm 0.44 jaccard directo 0.225588 error relativo 0.950451
 documentos 4 10 jaccard sm 0.41 jaccard directo 0.230027 error relativo 0.782398
 documentos 4 11 jaccard sm 0.36 jaccard directo 0.237813 error relativo 0.513792
 documentos 4 12 jaccard sm 0.4 jaccard directo 0.240846 error relativo 0.660808
 documentos 4 13 jaccard sm 0.36 jaccard directo 0.226966 error relativo 0.58614
 documentos 4 14 jaccard sm 0.33 jaccard directo 0.229715 error relativo 0.43656
 documentos 4 15 jaccard sm 0.41 jaccard directo 0.239804 error relativo 0.709725
 documentos 4 16 jaccard sm 0.43 jaccard directo 0.244632 error relativo 0.757741
 documentos 4 17 jaccard sm 0.32 jaccard directo 0.230122 error relativo 0.390564
 documentos 4 18 jaccard sm 0.41 jaccard directo 0.225641 error relativo 0.817042
 documentos 4 19 jaccard sm 0.39 jaccard directo 0.24064 error relativo 0.620674
 documentos 5 6 jaccard sm 0.38 jaccard directo 0.241531 error relativo 0.573293
 documentos 5 7 jaccard sm 0.36 jaccard directo 0.223181 error relativo 0.613041
 documentos 5 8 jaccard sm 0.38 jaccard directo 0.244643 error relativo 0.553279
 documentos 5 9 jaccard sm 0.38 jaccard directo 0.224059 error relativo 0.695982
 documentos 5 10 jaccard sm 0.38 jaccard directo 0.236152 error relativo 0.609128
 documentos 5 11 jaccard sm 0.36 jaccard directo 0.239319 error relativo 0.504269
 documentos 5 12 jaccard sm 0.35 jaccard directo 0.239001 error relativo 0.46443
 documentos 5 13 jaccard sm 0.41 jaccard directo 0.254294 error relativo 0.612307
 documentos 5 14 jaccard sm 0.33 jaccard directo 0.236521 error relativo 0.395222
 documentos 5 15 jaccard sm 0.4 jaccard directo 0.242689 error relativo 0.648196
 documentos 5 16 jaccard sm 0.38 jaccard directo 0.244142 error relativo 0.556471
 documentos 5 17 jaccard sm 0.38 jaccard directo 0.237339 error relativo 0.601082
 documentos 5 18 jaccard sm 0.39 jaccard directo 0.23446 error relativo 0.663393
 documentos 5 19 jaccard sm 0.37 jaccard directo 0.250686 error relativo 0.47595
 documentos 6 7 jaccard sm 0.34 jaccard directo 0.245314 error relativo 0.385976
 documentos 6 8 jaccard sm 0.29 jaccard directo 0.238211 error relativo 0.217405
 documentos 6 9 jaccard sm 0.39 jaccard directo 0.234019 error relativo 0.666527
 documentos 6 10 jaccard sm 0.41 jaccard directo 0.244196 error relativo 0.678979
 documentos 6 11 jaccard sm 0.34 jaccard directo 0.233577 error relativo 0.455623
 documentos 6 12 jaccard sm 0.34 jaccard directo 0.238953 error relativo 0.422875
 documentos 6 13 jaccard sm 0.34 jaccard directo 0.238462 error relativo 0.425805
 documentos 6 14 jaccard sm 0.4 jaccard directo 0.239498 error relativo 0.670157
 documentos 6 15 jaccard sm 0.4 jaccard directo 0.246078 error relativo 0.625501
 documentos 6 16 jaccard sm 0.32 jaccard directo 0.231311 error relativo 0.383418
 documentos 6 17 jaccard sm 0.4 jaccard directo 0.240011 error relativo 0.666587
 documentos 6 18 jaccard sm 0.37 jaccard directo 0.231021 error relativo 0.601581
 documentos 6 19 jaccard sm 0.36 jaccard directo 0.234702 error relativo 0.533856
 documentos 7 8 jaccard sm 0.4 jaccard directo 0.249728 error relativo 0.601739
 documentos 7 9 jaccard sm 0.39 jaccard directo 0.228432 error relativo 0.707289
 documentos 7 10 jaccard sm 0.38 jaccard directo 0.252048 error relativo 0.507647
 documentos 7 11 jaccard sm 0.4 jaccard directo 0.246743 error relativo 0.62112
 documentos 7 12 jaccard sm 0.36 jaccard directo 0.251232 error relativo 0.432939
 documentos 7 13 jaccard sm 0.33 jaccard directo 0.243288 error relativo 0.356417
 documentos 7 14 jaccard sm 0.39 jaccard directo 0.254526 error relativo 0.532261
 documentos 7 15 jaccard sm 0.39 jaccard directo 0.240675 error relativo 0.620439
 documentos 7 16 jaccard sm 0.38 jaccard directo 0.244831 error relativo 0.552087
 documentos 7 17 jaccard sm 0.34 jaccard directo 0.232318 error relativo 0.463511
 documentos 7 18 jaccard sm 0.42 jaccard directo 0.232817 error relativo 0.803987
 documentos 7 19 jaccard sm 0.38 jaccard directo 0.238147 error relativo 0.595652
 documentos 8 9 jaccard sm 0.36 jaccard directo 0.233899 error relativo 0.539122
 documentos 8 10 jaccard sm 0.37 jaccard directo 0.252634 error relativo 0.464565
 documentos 8 11 jaccard sm 0.4 jaccard directo 0.236093 error relativo 0.694247
 documentos 8 12 jaccard sm 0.37 jaccard directo 0.246764 error relativo 0.499408
